#
# CMB Power Spectrum
#
# Computed for different values of the electron Thompson
# scattering optical depth: tau_e = {0,0.05,0.1,0.2,0.5}
#
# Based on CAMB output, reformatted for the ISM/IGM Book
# Figure 9.5
#
# l = power spectrum angular multipole moment
# tauXX = Delta_T in uK for tau_e = XX
#
   l  tau0.00   tau0.05   tau0.10   tau0.20   tau0.50
 423  46.08253  43.83492  41.70132  37.77168  28.27543 
 424  46.13675  43.88622  41.74925  37.81402  28.30495 
 425  46.19415  43.94201  41.80191  37.86159  28.33814 
 426  46.25689  44.00114  41.85809  37.91174  28.37411 
 427  46.32278  44.06359  41.91778  37.96577  28.41144 
 428  46.39181  44.12936  41.97976  38.02236  28.45136 
 429  46.46396  44.19842  42.04522  38.08018  28.49281 
 430  46.54138  44.27189  42.11532  38.14446  28.53839 
 431  46.62188  44.34749  42.18886  38.20995  28.58566 
 432  46.70439  44.42634  42.26346  38.27662  28.63302 
 433  46.79102  44.50955  42.34147  38.34840  28.68484 
 434  46.88070  44.59372  42.42287  38.42005  28.73691 
 435  46.97233  44.68221  42.50529  38.49545  28.79080 
 436  47.06804  44.77276  42.59225  38.57460  28.84788 
 437  47.16673  44.86647  42.68138  38.65488  28.90675 
 438  47.26732  44.96221  42.77266  38.73758  28.96619 
 439  47.37193  45.06218  42.86724  38.82267  29.02895 
 440  47.47842  45.16304  42.96394  38.91015  29.09244 
